Strand	locus1	locus2	code	code2	Gene name	SEG	Chr
-	58576185	58577156	NC_000001	precursor	TACSTD2	__SEG__	Chr1
-	38045388	38046743	NC_000001	1	POU3F1	__SEG__	Chr1


-	149842306	149842698	NC_000001	2-A	HIST2H2AA3	__SEG__	Chr1
+	149886975	149887364	NC_000001	2-C	HIST2H2AC	__SEG__	Chr1
-	149886260	149886640	NC_000001	2-E	HIST2H2BE	__SEG__	Chr1


+	47438136	47439623	NC_000001	D2	FOXD2	__SEG__	Chr1
-	68046608	68047297	NC_000001	precursor	DIRAS3	__SEG__	Chr1
+	34757331	34758152	NC_000001	protein	GJB5	__SEG__	Chr1
+	27393799	27394791	NC_000001	3	GPR3	__SEG__	Chr1
+	200873038	200874123	NC_000001	25	GPR25	__SEG__	Chr1

-	110517252	110518787	NC_000001	10	KCNA10	__SEG__	Chr1
+	160370732	160371133	NC_000001	1	NHLH1	__SEG__	Chr1
+	174448112	174449197	NC_000001	52	GPR52	__SEG__	Chr1
-	153056517	153056735	NC_000001	2A	SPRR2A	__SEG__	Chr1
+	26863213	26863959	NC_000001	sigma	SFN	__SEG__	Chr1
+	15659869	15661722	NC_000001	1	RSC1A1	__SEG__	Chr1


+	63323059	63324495	NC_000001	D3	FOXD3	__SEG__	Chr1
+	47416316	47417275	NC_000001	E3	FOXE3	__SEG__	Chr1
-	247757462	247758406	NC_000001	1C1	OR1C1	__SEG__	Chr1
-	201468403	201468786	NC_000001	3	PHLDA3	__SEG__	Chr1
+	152686844	152687176	NC_000001	2B	LCE2B	__SEG__	Chr1
+	39410266	39414549	NC_000001	KIAA0754	KIAA0754	__SEG__	Chr1
+	209675685	209675996	NC_000001	2	G0S2	__SEG__	Chr1
+	181088903	181089886	NC_000001	protein	IER5	__SEG__	Chr1
+	248238929	248239864	NC_000001	2M4	OR2M4	__SEG__	Chr1
+	117622869	117624044	NC_000001	FAM46C	FAM46C	__SEG__	Chr1
+	107056716	107057843	NC_000001	6	PRMT6	__SEG__	Chr1
+	154993608	154993793	NC_000001	LEP503	LENEP	__SEG__	Chr1
-	19814418	19815101	NC_000001	186	RNF186	__SEG__	Chr1
+	232805024	232808167	NC_000001	10	MAP10	__SEG__	Chr1
-	88982654	88983826	NC_000001	X-linked-like-1	RBMXL1	__SEG__	Chr1
+	228157759	228159078	NC_000001	protein	GJC2	__SEG__	Chr1
-	109507431	109508912	NC_000001	precursor	AMIGO1	__SEG__	Chr1

-	119893964	119896336	NC_000001	preproprotein	ADAM30	__SEG__	Chr1
+	100538967	100540121	NC_000001	88	GPR88	__SEG__	Chr1
-	39769702	39771255	NC_000001	precursor	OXCT2	__SEG__	Chr1
-	179864781	179865176	NC_000001	a	TOR1AIP2	__SEG__	Chr1

+	34784763	34785575	NC_000001	protein	GJB3	__SEG__	Chr1
+	151158698	151159252	NC_000001	2	TNFAIP8L2	__SEG__	Chr1
+	248847275	248848633	NC_000001	672	ZNF672	__SEG__	Chr1

+	152884423	152884773	NC_000001	protein	SMCP	__SEG__	Chr1
-	38874551	38876098	NC_000001	precursor	GJA9	__SEG__	Chr1
+	248405995	248407104	NC_000001	2T1	OR2T1	__SEG__	Chr1
+	109543023	109544378	NC_000001	61	GPR61	__SEG__	Chr1
-	152579658	152579936	NC_000001	3D	LCE3D	__SEG__	Chr1
+	45327149	45328264	NC_000001	protein	HPDL	__SEG__	Chr1
-	36393758	36394129	NC_000001	LSm10	LSM10	__SEG__	Chr1
-	169792577	169793695	NC_000001	homolog	METTL18	__SEG__	Chr1
-	228457425	228457817	NC_000001	3	HIST3H2A	__SEG__	Chr1
+	3021687	3022820	NC_000001	T2	ACTRT2	__SEG__	Chr1

-	40861573	40862127	NC_000001	4	CITED4	__SEG__	Chr1
-	52032697	52033761	NC_000001	homolog	KTI12	__SEG__	Chr1
+	43272723	43273382	NC_000001	125	TMEM125	__SEG__	Chr1
-	160030468	160031739	NC_000001	1	PIGM	__SEG__	Chr1
+	33864192	33864752	NC_000001	1	HMGB4	__SEG__	Chr1
-	54757734	54759161	NC_000001	precursor	PARS2	__SEG__	Chr1
+	18480982	18483315	NC_000001	7A	KLHDC7A	__SEG__	Chr1
+	20190562	20191404	NC_000001	10	UBXN10	__SEG__	Chr1
-	209782825	209783634	NC_000001	C1orf74	C1orf74	__SEG__	Chr1
+	223393476	223395347	NC_000001	185	CCDC185	__SEG__	Chr1
+	34761255	34762055	NC_000001	protein	GJB4	__SEG__	Chr1

-	172441729	172442622	NC_000001	C	PIGC	__SEG__	Chr1
-	182399664	182400485	NC_000001	1	TEDDM1	__SEG__	Chr1
+	247256072	247257145	NC_000001	5	VN1R5	__SEG__	Chr1
+	228458130	228458510	NC_000001	3-B	HIST3H2BB	__SEG__	Chr1
-	149887524	149887916	NC_000001	2-B	HIST2H2AB	__SEG__	Chr1
-	231335568	231337745	NC_000001	8	EXOC8	__SEG__	Chr1
+	248099376	248100314	NC_000001	2L13	OR2L13	__SEG__	Chr1
+	152827473	152827805	NC_000001	1A	LCE1A	__SEG__	Chr1
+	152812447	152812803	NC_000001	1B	LCE1B	__SEG__	Chr1
+	152797795	152798139	NC_000001	1D	LCE1D	__SEG__	Chr1
+	152787300	152787656	NC_000001	1E	LCE1E	__SEG__	Chr1
+	152776372	152776728	NC_000001	1F	LCE1F	__SEG__	Chr1
+	152709076	152709375	NC_000001	4A	LCE4A	__SEG__	Chr1
-	25862799	25863839	NC_000001	alpha	PAQR7	__SEG__	Chr1
+	152698902	152699222	NC_000001	2A	LCE2A	__SEG__	Chr1
+	152676016	152676348	NC_000001	2C	LCE2C	__SEG__	Chr1
+	152664106	152664438	NC_000001	2D	LCE2D	__SEG__	Chr1
-	152622834	152623103	NC_000001	3A	LCE3A	__SEG__	Chr1
+	152613811	152614098	NC_000001	3B	LCE3B	__SEG__	Chr1
+	152600732	152601016	NC_000001	3C	LCE3C	__SEG__	Chr1
-	152565930	152566208	NC_000001	3E	LCE3E	__SEG__	Chr1
+	152511535	152511891	NC_000001	5A	LCE5A	__SEG__	Chr1
+	155941710	155942834	NC_000001	2	RXFP4	__SEG__	Chr1
-	247531549	247532511	NC_000001	2C3	OR2C3	__SEG__	Chr1
-	205083553	205084320	NC_000001	precursor	TMEM81	__SEG__	Chr1
+	110112535	110113059	NC_000001	4B	UBL4B	__SEG__	Chr1
-	183647678	183648781	NC_000001	APOBEC-4	APOBEC4	__SEG__	Chr1

-	247111511	247112224	NC_000001	C1orf229	C1orf229	__SEG__	Chr1
-	228075731	228076354	NC_000001	LOC100506571	LOC100506571	__SEG__	Chr1
+	26993787	26994470	NC_000001	X1	TRNP1	__SEG__	Chr1

+	152515384	152515683	NC_000001	X1	CRCT1	__SEG__	Chr1
-	146344221	146344715	NC_000001	4C	LOC105371242	__SEG__	Chr1
+	150550290	150551060	NC_000001	LOC107983947	LOC107983947	__SEG__	Chr1
+	226976081	226976611	NC_000001	receptor-like	LOC105379282	__SEG__	Chr1
+	227969805	227971358	NC_000001	form-like	LOC101060022	__SEG__	Chr1
+	16539066	16539575	NC_000001	FAM231BP	FAM231BP	__SEG__	Chr1
-	151837928	151838989	NC_000001	X1	C2CD4D	__SEG__	Chr1
-	204617851	204619992	NC_000001	X1	LRRN2	__SEG__	Chr1
+	239907452	239909224	NC_000001	X1	CHRM3	__SEG__	Chr1
-	23874535	23875617	NC_000001	X1	CNR2	__SEG__	Chr1
-	248592830	248593768	NC_000001	X1	OR2T10	__SEG__	Chr1
-	158765744	158766682	NC_000001	X1	OR6N1	__SEG__	Chr1
+	152971891	152972130	NC_000001	X1	SPRR4	__SEG__	Chr1
+	159439792	159440721	NC_000001	X1	OR10J1	__SEG__	Chr1
+	34794214	34795215	NC_000001	X1	GJA4	__SEG__	Chr1
-	147758162	147759238	NC_000001	X1	GJA5	__SEG__	Chr1
+	152843521	152843763	NC_000001	X1	LCE6A	__SEG__	Chr1
-	115838400	115839122	NC_000001	X1	NHLH2	__SEG__	Chr1
-	155139962	155140240	NC_000001	X1	DPM3	__SEG__	Chr1
+	89933069	89935645	NC_000001	X1	LRRC8D	__SEG__	Chr1
+	23961458	23961877	NC_000001	X1	PNRC2	__SEG__	Chr1
+	40514545	40515666	NC_000001	X1	EXO5	__SEG__	Chr1
-	153070621	153070839	NC_000001	X1	SPRR2B	__SEG__	Chr1
-	153040128	153040346	NC_000001	X1	SPRR2D	__SEG__	Chr1
-	153112515	153112733	NC_000001	X1	SPRR2F	__SEG__	Chr1
-	153149889	153150110	NC_000001	X1	SPRR2G	__SEG__	Chr1
-	223110455	223113031	NC_000001	X1	TLR5	__SEG__	Chr1
-	685716	686654	NC_000001	X1	OR4F16	__SEG__	Chr1
-	175160714	175161013	NC_000001	X2	KIAA0040	__SEG__	Chr1
-	120913392	120914198	NC_000001	LOC100996720	LOC100996720	__SEG__	Chr1
-	2212927	2213580	NC_000001	LOC105378592	LOC105378592	__SEG__	Chr1
-	27547304	27552115	NC_000001	X1	AHDC1	__SEG__	Chr1
-	175160169	175160630	NC_000001	X1	KIAA0040	__SEG__	Chr1
+	2190051	2190593	NC_000001	LOC112268219	LOC112268219	__SEG__	Chr1
+	16673003	16673512	NC_000001	FAM231AP	FAM231AP	__SEG__	Chr1
+	110338435	110338941	NC_000001	LOC112268233	LOC112268233	__SEG__	Chr1
-	149792534	149793208	NC_000001	LOC112268237	LOC112268237	__SEG__	Chr1
-	149853278	149853748	NC_000001	IF-2-like	LOC112268238	__SEG__	Chr1
+	228648021	228648575	NC_000001	LOC105373132	LOC105373132	__SEG__	Chr1
-	182056304	182058010	NC_000001	X1	ZNF648	__SEG__	Chr1
+	111077997	111079394	NC_000010	receptor	ADRA2A	__SEG__	Chr10
+	114044133	114045566	NC_000010	receptor	ADRB1	__SEG__	Chr10
+	97589898	97590569	NC_000010	C10orf62	C10orf62	__SEG__	Chr10
-	133423226	133423681	NC_000010	precursor	SPRN	__SEG__	Chr10
-	43386637	43387884	NC_000010	F	HNRNPF	__SEG__	Chr10
+	79512650	79513114	NC_000010	5A-1-like	EIF5AL1	__SEG__	Chr10

+	103245997	103246683	NC_000010	1	RPEL1	__SEG__	Chr10
+	23439458	23440903	NC_000010	1	OTUD1	__SEG__	Chr10
-	71715936	71716337	NC_000010	C10orf105	C10orf105	__SEG__	Chr10


-	22208883	22209983	NC_000010	1	EBLN1	__SEG__	Chr10

+	49610741	49612339	NC_000010	transporter	SLC18A3	__SEG__	Chr10

-	118594132	118595244	NC_000010	receptor	PRLHR	__SEG__	Chr10
+	5525086	5525535	NC_000010	3	CALML3	__SEG__	Chr10

+	45003369	45004043	NC_000010	22	ZNF22	__SEG__	Chr10

-	97333871	97334572	NC_000010	FRAT2	FRAT2	__SEG__	Chr10
-	51697699	51699549	NC_000010	variant	CSTF2T	__SEG__	Chr10
-	5498998	5499438	NC_000010	5	CALML5	__SEG__	Chr10
+	102065475	102067802	NC_000010	protein	HPS6	__SEG__	Chr10
+	97713877	97714398	NC_000010	1	MARVELD1	__SEG__	Chr10



-	68231219	68231677	NC_000010	7	ATOH7	__SEG__	Chr10
-	91908193	91908969	NC_000010	precursor	FGFBP3	__SEG__	Chr10
-	15096357	15096824	NC_000010	C10orf111	C10orf111	__SEG__	Chr10
+	119029802	119030680	NC_000010	1	NANOS1	__SEG__	Chr10
-	954623	955651	NC_000010	LOC105376341	LOC105376341	__SEG__	Chr10
-	31362799	31364049	NC_000010	FLJ37424	LOC100505502	__SEG__	Chr10
+	47921988	47923115	NC_000010	X1	NPY4R2	__SEG__	Chr10
+	15103315	15104166	NC_000010	X1	RPP38	__SEG__	Chr10
-	47367807	47368829	NC_000010	X1	ZNF488	__SEG__	Chr10
-	21515096	21517822	NC_000010	X1	SKIDA1	__SEG__	Chr10
-	69572399	69573043	NC_000010	X1	NEUROG3	__SEG__	Chr10
-	46461508	46462635	NC_000010	X1	NPY4R	__SEG__	Chr10
-	45303436	45304422	NC_000010	X1	OR13A1	__SEG__	Chr10
+	25023224	25025455	NC_000010	X1	THNSL1	__SEG__	Chr10
+	96156323	96160774	NC_000010	X1	ZNF518A	__SEG__	Chr10
+	124489959	124490546	NC_000010	LOC107984159	LOC107984159	__SEG__	Chr10
-	3068018	3069256	NC_000010	LOC101927824	LOC101927824	__SEG__	Chr10
+	11611332	11611979	NC_000010	LOC439951	LOC107984208	__SEG__	Chr10
-	102842782	102843822	NC_000010	108-like	LOC107984264	__SEG__	Chr10
+	46284489	46285118	NC_000010	protein	LOC105378577	__SEG__	Chr10
-	132521184	132522584	NC_000010	LOC107984282	LOC107984282	__SEG__	Chr10
+	36573305	36576436	NC_000011	1	RAG1	__SEG__	Chr11
-	36592585	36594168	NC_000011	2	RAG2	__SEG__	Chr11
-	62909718	62911100	NC_000011	M1	CHRM1	__SEG__	Chr11
-	46385118	46386557	NC_000011	M4	CHRM4	__SEG__	Chr11
+	1629841	1630554	NC_000011	5-5	KRTAP5-5	__SEG__	Chr11
+	104036823	104038013	NC_000011	1	DDI1	__SEG__	Chr11
-	122115596	122115922	NC_000011	inducer	BLID	__SEG__	Chr11
-	5787854	5788816	NC_000011	52N1	OR52N1	__SEG__	Chr11
+	5046526	5047461	NC_000011	52J3	OR52J3	__SEG__	Chr11
-	6026748	6027704	NC_000011	56A1	OR56A1	__SEG__	Chr11
+	55554307	55555419	NC_000011	4C15	OR4C15	__SEG__	Chr11
+	56030419	56031393	NC_000011	5AS1	OR5AS1	__SEG__	Chr11
-	5777660	5778634	NC_000011	52N5	OR52N5	__SEG__	Chr11
+	55819630	55820571	NC_000011	5D18	OR5D18	__SEG__	Chr11
+	124023013	124023948	NC_000011	10G9	OR10G9	__SEG__	Chr11
-	59421979	59422953	NC_000011	5A2	OR5A2	__SEG__	Chr11
+	49952423	49953352	NC_000011	4C13	OR4C13	__SEG__	Chr11
-	55913650	55914582	NC_000011	5W2	OR5W2	__SEG__	Chr11
+	123939617	123940573	NC_000011	4D5	OR4D5	__SEG__	Chr11
+	55773438	55774382	NC_000011	5D13	OR5D13	__SEG__	Chr11
+	124249676	124250611	NC_000011	8G1	OR8G1	__SEG__	Chr11
+	56346039	56346998	NC_000011	8K1	OR8K1	__SEG__	Chr11
-	124309840	124310766	NC_000011	8D1	OR8D1	__SEG__	Chr11
-	124319262	124320197	NC_000011	8D2	OR8D2	__SEG__	Chr11
-	56641489	56642439	NC_000011	5AP2	OR5AP2	__SEG__	Chr11
+	5947347	5948294	NC_000011	56A3	OR56A3	__SEG__	Chr11
-	7938576	7939520	NC_000011	10A3	OR10A3	__SEG__	Chr11
+	56093308	56094240	NC_000011	8I2	OR8I2	__SEG__	Chr11
-	6169355	6170326	NC_000011	52B2	OR52B2	__SEG__	Chr11
-	56159394	56160317	NC_000011	8K5	OR8K5	__SEG__	Chr11
+	55650904	55651839	NC_000011	4S2	OR4S2	__SEG__	Chr11
-	56136771	56137718	NC_000011	8J3	OR8J3	__SEG__	Chr11
+	55638358	55639296	NC_000011	4P4	OR4P4	__SEG__	Chr11
+	4545191	4546144	NC_000011	52M1	OR52M1	__SEG__	Chr11
-	1597717	1598250	NC_000011	5-2	KRTAP5-2	__SEG__	Chr11
+	58214745	58215722	NC_000011	1S1	OR1S1	__SEG__	Chr11
-	58203204	58204181	NC_000011	1S2	OR1S2	__SEG__	Chr11
+	6869755	6870666	NC_000011	10A2	OR10A2	__SEG__	Chr11
-	7927718	7928662	NC_000011	10A6	OR10A6	__SEG__	Chr11
+	124015575	124016510	NC_000011	10G4	OR10G4	__SEG__	Chr11
-	124038066	124039001	NC_000011	10G7	OR10G7	__SEG__	Chr11
+	124029623	124030558	NC_000011	10G8	OR10G8	__SEG__	Chr11
-	58227916	58228875	NC_000011	10Q1	OR10Q1	__SEG__	Chr11
-	123976696	123977691	NC_000011	10S1	OR10S1	__SEG__	Chr11
+	6785038	6785988	NC_000011	2AG1	OR2AG1	__SEG__	Chr11
-	6768007	6768957	NC_000011	2AG2	OR2AG2	__SEG__	Chr11
+	6921002	6921994	NC_000011	2D3	OR2D3	__SEG__	Chr11
-	55603441	55604373	NC_000011	4C11	OR4C11	__SEG__	Chr11
+	55572128	55573060	NC_000011	4C16	OR4C16	__SEG__	Chr11
+	48324941	48325930	NC_000011	precursor	OR4C3	__SEG__	Chr11
-	54603069	54603998	NC_000011	4C46	OR4C46	__SEG__	Chr11
+	55665167	55666096	NC_000011	4C6	OR4C6	__SEG__	Chr11
+	59477430	59478365	NC_000011	4D10	OR4D10	__SEG__	Chr11
+	59503576	59504511	NC_000011	4D11	OR4D11	__SEG__	Chr11
+	59456961	59457905	NC_000011	4D6	OR4D6	__SEG__	Chr11
+	59514913	59515857	NC_000011	4D9	OR4D9	__SEG__	Chr11
+	48306223	48307152	NC_000011	4S1	OR4S1	__SEG__	Chr11
+	48263861	48264778	NC_000011	4X1	OR4X1	__SEG__	Chr11
+	48245104	48246015	NC_000011	4X2	OR4X2	__SEG__	Chr11
+	59443169	59444116	NC_000011	5A1	OR5A1	__SEG__	Chr11
+	59364459	59365394	NC_000011	5AN1	OR5AN1	__SEG__	Chr11
+	56663686	56664618	NC_000011	5AR1	OR5AR1	__SEG__	Chr11
-	58439207	58440151	NC_000011	5B12	OR5B12	__SEG__	Chr11
+	55795556	55796500	NC_000011	5D14	OR5D14	__SEG__	Chr11
+	55811467	55812402	NC_000011	5L1	OR5L1	__SEG__	Chr11
+	55827219	55828154	NC_000011	5L2	OR5L2	__SEG__	Chr11
-	56612555	56613502	NC_000011	5M1	OR5M1	__SEG__	Chr11
-	56576774	56577721	NC_000011	5M10	OR5M10	__SEG__	Chr11
-	56469574	56470497	NC_000011	5M3	OR5M3	__SEG__	Chr11
-	56462469	56463401	NC_000011	5M9	OR5M9	__SEG__	Chr11
-	56417258	56418232	NC_000011	5R1	OR5R1	__SEG__	Chr11
+	56275639	56276619	NC_000011	5T1	OR5T1	__SEG__	Chr11
-	56232106	56233185	NC_000011	5T2	OR5T2	__SEG__	Chr11
+	56252200	56253222	NC_000011	5T3	OR5T3	__SEG__	Chr11
-	4954772	4955713	NC_000011	51A2	OR51A2	__SEG__	Chr11
+	4907370	4908308	NC_000011	51A7	OR51A7	__SEG__	Chr11
+	5351508	5352446	NC_000011	51B6	OR51B6	__SEG__	Chr11
+	4639791	4640765	NC_000011	51D1	OR51D1	__SEG__	Chr11
-	4768979	4769917	NC_000011	51F1	OR51F1	__SEG__	Chr11
+	4821386	4822414	NC_000011	51F2	OR51F2	__SEG__	Chr11
+	5453489	5454427	NC_000011	51I2	OR51I2	__SEG__	Chr11
+	4998983	4999930	NC_000011	51L1	OR51L1	__SEG__	Chr11
+	5389399	5390379	NC_000011	51M1	OR51M1	__SEG__	Chr11
+	5422201	5423154	NC_000011	51Q1	OR51Q1	__SEG__	Chr11
-	4848237	4849208	NC_000011	51S1	OR51S1	__SEG__	Chr11
+	4881819	4882883	NC_000011	51T1	OR51T1	__SEG__	Chr11
-	5199735	5200700	NC_000011	51V1	OR51V1	__SEG__	Chr11
-	5131692	5132642	NC_000011	52A5	OR52A5	__SEG__	Chr11
-	4367351	4368295	NC_000011	52B4	OR52B4	__SEG__	Chr11
+	5580877	5581884	NC_000011	52B6	OR52B6	__SEG__	Chr11
+	5488707	5489663	NC_000011	52D1	OR52D1	__SEG__	Chr11
-	5058650	5059627	NC_000011	52E2	OR52E2	__SEG__	Chr11
+	5884293	5885231	NC_000011	52E4	OR52E4	__SEG__	Chr11
+	5900765	5901760	NC_000011	52E5	OR52E5	__SEG__	Chr11
-	5840956	5841897	NC_000011	52E6	OR52E6	__SEG__	Chr11
-	5856749	5857702	NC_000011	52E8	OR52E8	__SEG__	Chr11
+	4594039	4595013	NC_000011	52I1	OR52I1	__SEG__	Chr11
+	4586813	4587865	NC_000011	52I2	OR52I2	__SEG__	Chr11
+	4488901	4489845	NC_000011	52K1	OR52K1	__SEG__	Chr11
+	4449340	4450284	NC_000011	52K2	OR52K2	__SEG__	Chr11
-	5985941	5986930	NC_000011	52L1	OR52L1	__SEG__	Chr11
+	5820336	5821301	NC_000011	52N2	OR52N2	__SEG__	Chr11
-	4803433	4804380	NC_000011	52R1	OR52R1	__SEG__	Chr11
+	6199224	6200186	NC_000011	52W1	OR52W1	__SEG__	Chr11
